market_id,entry_secs,entry_price,side,resolution,win,ep_bin
1387840,43,0.995,UP,1,True,>0.96
1387846,47,0.92,DOWN,0,True,0.90-0.93
1387847,46,0.995,DOWN,0,True,>0.96
1387854,47,0.995,DOWN,0,True,>0.96
1387859,42,0.905,UP,1,True,0.90-0.93
1387860,47,0.965,DOWN,0,True,>0.96
1387992,47,0.935,UP,1,True,0.93-0.96
1387993,44,0.925,UP,1,True,0.90-0.93
1387994,45,0.955,DOWN,0,True,0.93-0.96
1387999,44,0.975,UP,1,True,>0.96
1388005,43,0.93,DOWN,0,True,0.90-0.93
1388007,46,0.91,UP,1,True,0.90-0.93
1388013,44,0.89,DOWN,0,True,0.88-0.90
1388032,45,0.95,DOWN,0,True,0.93-0.96
1388038,44,0.93,DOWN,0,True,0.90-0.93
1388039,45,0.935,UP,1,True,0.93-0.96
1388041,45,0.905,UP,1,True,0.90-0.93
1388045,44,0.995,UP,1,True,>0.96
1388046,41,0.995,UP,1,True,>0.96
1388050,47,0.995,UP,1,True,>0.96
1388089,45,0.94,DOWN,0,True,0.93-0.96
1388097,45,0.985,UP,1,True,>0.96
1388113,43,0.945,DOWN,0,True,0.93-0.96
1388116,41,0.94,DOWN,0,True,0.93-0.96
1388119,42,0.995,DOWN,0,True,>0.96
1388126,41,0.96,DOWN,0,True,0.93-0.96
1388138,46,0.925,DOWN,0,True,0.90-0.93
1388144,44,0.955,UP,1,True,0.93-0.96
1388156,41,0.975,UP,1,True,>0.96
1388161,44,0.93,UP,1,True,0.90-0.93
1388164,44,0.945,DOWN,0,True,0.93-0.96
1388167,40,0.92,DOWN,0,True,0.90-0.93
1388182,34,0.93,DOWN,0,True,0.90-0.93
1388185,47,0.95,DOWN,0,True,0.93-0.96
1388189,31,0.975,UP,1,True,>0.96
1388191,44,0.995,DOWN,0,True,>0.96
1388214,44,0.925,DOWN,0,True,0.90-0.93
1388220,45,0.995,DOWN,0,True,>0.96
1388399,44,0.945,DOWN,0,True,0.93-0.96
1388406,43,0.985,DOWN,0,True,>0.96
1388407,30,0.995,UP,1,True,>0.96
1388411,40,0.995,DOWN,0,True,>0.96
1388413,46,0.915,UP,1,True,0.90-0.93
1388414,41,0.975,UP,1,True,>0.96
1388420,45,0.955,UP,1,True,0.93-0.96
1388490,43,0.945,DOWN,0,True,0.93-0.96
1388493,44,0.995,UP,1,True,>0.96
1388496,41,0.995,UP,1,True,>0.96
1388504,42,0.97,DOWN,0,True,>0.96
1388505,42,0.96,UP,1,True,0.93-0.96
1388510,42,0.995,DOWN,0,True,>0.96
1388512,44,0.95,UP,1,True,0.93-0.96
1388513,44,0.96,UP,1,True,0.93-0.96
1388596,46,0.935,DOWN,0,True,0.93-0.96
1388606,47,0.995,UP,1,True,>0.96
1388609,45,0.965,DOWN,0,True,>0.96
1388689,42,0.995,DOWN,0,True,>0.96
1388692,45,0.985,DOWN,0,True,>0.96
1388696,46,0.965,DOWN,0,True,>0.96
1388701,45,0.955,DOWN,0,True,0.93-0.96
1388716,43,0.995,UP,1,True,>0.96
1388718,47,0.95,UP,1,True,0.93-0.96
1388751,43,0.995,DOWN,0,True,>0.96
1388755,43,0.975,UP,1,True,>0.96
1388757,40,0.915,UP,1,True,0.90-0.93
1388761,41,0.95,UP,1,True,0.93-0.96
1388765,46,0.995,DOWN,0,True,>0.96
1388770,45,0.94,UP,1,True,0.93-0.96
1388975,44,0.945,UP,1,True,0.93-0.96
1388986,30,0.985,DOWN,0,True,>0.96
1388995,45,0.965,UP,1,True,>0.96
1389008,28,0.975,UP,1,True,>0.96
1389012,43,0.995,UP,1,True,>0.96
1389015,40,0.945,DOWN,0,True,0.93-0.96
1389059,41,0.995,DOWN,0,True,>0.96
1389065,41,0.995,DOWN,0,True,>0.96
1389073,28,0.965,DOWN,0,True,>0.96
1389084,42,0.965,UP,1,True,>0.96
1389127,41,0.98,UP,1,True,>0.96
1389164,32,0.92,DOWN,0,True,0.90-0.93
1389176,45,0.885,DOWN,0,True,0.88-0.90
1389302,41,0.915,UP,1,True,0.90-0.93
